hs7	128845044	129845044
hs7	40027198	41027198
hs1	224918164	225918164
hs7	90355881	91355881
hs1	247320302	248320302
hs3	171969050	172969050
hs12	32458631	33458631
hs19	6697355	7697355
hs9	113734353	114734353
hs17	7402358	8402358
hs4	174305802	175305802
hs10	31661947	32661947
hs5	68470704	69470704
hs18	66564456	67564456
hs7	100410369	101410369
hs7	50737419	51737419
hs7	23015829	24015829
hs16	66642212	67642212
hs3	98568305	99568305
hs3	145838899	146838899
hs12	28408514	29408514
hs12	116668238	117668238
hs3	27478879	28478879
hs2	231307652	232307652
hs19	11289021	12289021
hs10	31661947	32661947
hs1	21097423	22097423
hs2	225400245	226400245
hs18	9931807	10931807
hs8	124349865	125349865
hs2	61340905	62340905
hs8	128902835	129902835
hs9	4286038	5286038
hs12	70671912	71671912
hs3	149238618	150238618
hs6	163876311	164876311
hs19	34921481	35921481
hs11	61205097	62205097
hs17	1264386	2264386
hs16	8952207	9952207
hs20	21346059	22346059
hs4	39915231	40915231
hs9	6420912	7420912
hs22	42204879	43204879
hs1	48821342	49821342
hs4	186168448	187168448
hs2	110342703	111342703
hs15	90982564	91982564
hs12	69210592	70210592
hs21	38792601	39792601
hs6	160103506	161103506
hs7	77214860	78214860
hs5	98215256	99215256
hs1	9991949	10991949
hs12	69983265	70983265
hs5	65284463	66284463
hs7	99952766	100952766
hs18	9931807	10931807
hs21	37619815	38619815
hs17	75398141	76398141
hs21	17135210	18135210
hs8	131370263	132370263
hs18	44526020	45526020
hs19	41089304	42089304
hs11	73418465	74418465
hs3	142455221	143455221
hs11	89133185	90133185
hs9	107645320	108645320
hs12	70671912	71671912
hs2	64083440	65083440
hs1	39696854	40696854
hs12	50385781	51385781
hs7	23015829	24015829
hs1	97981282	98981282
hs21	34804484	35804484
hs15	45059429	46059429
hs3	171969050	172969050
hs1	82302570	83302570
hs16	29845054	30845054
hs6	71136142	72136142
hs7	72883847	73883847
hs1	33413823	34413823
hs12	124071294	125071294
hs19	12825635	13825635
hs15	90984738	91984738
hs8	141595218	142595218
hs7	73770740	74770740
hs1	1747195	2747195
hs8	29959414	30959414
hs19	10906048	11906048
hs10	26789748	27789748
hs1	247318868	248318868
hs7	74239462	75239462
hs7	72361166	73361166
hs7	17885218	18885218
hs1	219366424	220366424
hs7	22999875	23999875
hs1	29481208	30481208
hs3	197592294	198592294
hs12	105385490	106385490
hs19	23316882	24316882
hs11	85685751	86685751
hs2	175779786	176779786
hs7	35050080	36050080
hs1	223991876	224991876
hs14	97299804	98299804
hs19	38609946	39609946
hs20	47307485	48307485
hs16	87782279	88782279
hs12	19615444	20615444
hs1	31465237	32465237
hs19	50902108	51902108
hs20	21319682	22319682
hs7	72301272	73301272
hs7	90355881	91355881
hs7	90376996	91376996
hs5	145197457	146197457
hs16	47143394	48143394
hs1	59805630	60805630
hs18	51797730	52797730
hs2	236706403	237706403
hs7	156758964	157758964
hs20	57014001	58014001
hs2	159992705	160992705
hs7	155465561	156465561
hs1	186375215	187375215
hs16	88008654	89008654
hs4	103225474	104225474
hs5	14304570	15304570
hs16	85667520	86667520
hs21	34793787	35793787
hs7	74239462	75239462
hs9	138741983	139741983
hs19	45766371	46766371
hs11	85707869	86707869
hs4	39328183	40328183
hs18	29691717	30691717
hs9	127670656	128670656
hs9	114148657	115148657
hs3	133341935	134341935
hs3	49372453	50372453
hs6	155108995	156108995
hs1	48771459	49771459
hs21	37619815	38619815
hs6	111208708	112208708
hs7	40027198	41027198
hs9	138758302	139758302
hs13	52971367	53971367
hs18	76886267	77886267
hs3	185638892	186638892
hs7	43679048	44679048
hs20	30954187	31954187
hs4	48686690	49686690
hs12	49491349	50491349
hs19	19750894	20750894
hs3	27490142	28490142
hs2	61749746	62749746
hs16	31102096	32102096
hs17	1540003	2540003
hs2	201283973	202283973
hs1	247319708	248319708
hs7	136935977	137935977
hs11	12785726	13785726
hs16	69729039	70729039
hs9	111812563	112812563
hs4	72102293	73102293
hs7	72301272	73301272
hs1	48860939	49860939
hs15	93540187	94540187
hs9	88920107	89920107
hs18	60206914	61206914
hs14	75136352	76136352
hs7	158552177	159552177
hs9	96233423	97233423
hs5	151169884	152169884
hs3	31617888	32617888
hs7	3658712	4658712
hs2	162036125	163036125
hs12	100676721	101676721
hs21	46275125	47275125
hs10	70227880	71227880
hs16	88061089	89061089
hs19	49416268	50416268
hs10	96005703	97005703
hs12	12022358	13022358
hs8	17868746	18868746
hs21	16363522	17363522
hs1	42730786	43730786
hs5	179136874	180136874
hs4	170076631	171076631
hs4	83793097	84793097
hs6	17665470	18665470
hs5	72370569	73370569
hs13	114806476	115806476
hs21	16386665	17386665
hs16	9009111	10009111
hs15	44907561	45907561
hs1	23397718	24397718
hs5	137278564	138278564
hs8	124346118	125346118
hs22	22160139	23160139
hs9	98740343	99740343
hs1	26772807	27772807
hs7	87593949	88593949
hs9	78682871	79682871
hs14	31139462	32139462
hsX	10031485	11031485
hs19	8520289	9520289
hs8	18656805	19656805
hs2	200233328	201233328
hs8	17092225	18092225
hs12	94562929	95562929
hs17	1746097	2746097
hs4	7870349	8870349
hs5	96058343	97058343
hs9	128419930	129419930
hs1	43239234	44239234
hs7	90355881	91355881
hs19	52785364	53785364
hs1	35879573	36879573
hs11	120347370	121347370
hs1	150464887	151464887
hs11	110007388	111007388
hs20	30954187	31954187
hs19	17212470	18212470
hs7	107836205	108836205
hs1	1747195	2747195
hs12	50821545	51821545
hs3	119219542	120219542
hs4	87685746	88685746
hs9	33351558	34351558
hs1	9991949	10991949
hs3	196118684	197118684
hs8	28837588	29837588
hs17	73238417	74238417
hs7	152007051	153007051
hs3	156411809	157411809
hs2	201303845	202303845
hs15	25650608	26650608
